A	B	C	D	sex	age	edu	Unnamed: 0
1	1	1	4	2	2	2	156
4	2	3	3	2	3	3	157
4	5	2	4	1	4	3	158
2	3	3	3	1	3	3	159
4	2	2	2	1	4	3	160
3	2	3	3	2	1	4	161
3	4	3	3	2	2	4	162
3	2	2	4	1	6	2	163
2	4	3	3	2	3	3	164
2	2	3	2	1	1	4	165
4	3	2	3	2	5	2	166
3	3	3	3	2	6	2	167
4	3	3	4	2	6	2	168
3	4	3	3	2	6	2	169
2	4	3	3	2	6	2	170
4	2	4	3	1	3	2	171
1	2	1	3	2	3	5	172
2	3	2	3	1	5	2	173
3	4	3	3	1	3	2	174
3	3	3	3	1	2	3	175
2	4	4	3	1	4	5	176
1	2	3	2	1	6	3	177
3	2	3	3	1	4	3	178
3	3	2	4	1	6	3	179
4	5	4	4	1	1	1	180
1	5	3	4	2	1	4	181
2	5	1	3	2	2	3	182
4	5	4	2	2	1	4	183
3	2	2	1	1	3	6	184
3	4	2	3	1	3	3	185
2	4	4	3	1	4	3	186
1	4	2	2	2	5	2	187
2	4	3	3	2	3	3	188
2	2	2	2	1	4	3	189
4	4	2	2	1	2	2	190
2	1	1	1	2	2	2	191
3	4	2	3	1	4	3	192
4	2	3	2	1	2	3	193
1	3	2	2	1	2	2	194
2	1	2	2	2	3	2	195
2	1	2	2	2	3	3	196
2	1	1	2	2	4	3	197
1	2	1	1	1	1	2	198
1	4	2	5	2	6	2	199
2	4	2	5	1	2	3	200
2	4	2	4	2	1	4	201
2	2	2	4	2	6	2	202
4	4	1	5	1	5	6	203
2	5	3	2	1	5	2	204
2	5	2	2	1	4	3	205
4	4	3	4	1	2	3	206
2	4	2	2	2	4	3	207
4	5	3	4	2	4	3	208
2	2	2	4	1	6	2	209
4	4	2	2	1	3	2	210
3	3	4	3	1	4	3	211
4	5	3	2	1	4	2	212
1	1	2	5	1	1	4	213
1	3	2	4	2	5	1	214
4	5	4	4	1	2	4	215
3	3	1	3	1	6	2	216
2	2	2	4	2	6	2	217
2	2	2	2	1	6	2	218
2	2	2	2	2	1	3	219
4	4	4	4	2	4	3	220
4	3	1	2	2	6	2	221
3	3	3	3	2	4	3	222
2	3	2	3	2	3	2	223
3	3	2	2	1	5	5	224
4	3	2	3	2	3	3	225
5	2	2	4	1	2	2	226
4	1	1	4	2	2	3	227
2	1	2	1	2	3	2	228
3	2	3	2	1	2	2	229
1	1	1	1	1	3	5	230
2	3	3	2	1	4	5	231
3	5	2	2	2	4	2	232
4	4	3	3	1	2	4	233
3	2	3	2	2	5	2	234
2	2	2	2	1	1	4	235
3	2	3	3	2	3	3	236
3	2	1	4	2	4	2	237
2	2	1	5	1	2	6	238
2	1	1	1	1	6	2	239
2	5	3	5	2	6	2	240
2	2	2	5	2	6	2	241
1	3	3	3	2	4	1	242
2	2	3	3	2	6	1	243
1	3	2	2	1	4	3	244
2	2	2	3	2	6	2	245
2	3	2	2	1	4	3	246
4	2	4	5	2	1	4	247
2	5	5	3	2	5	3	248
3	4	2	4	2	3	2	249
5	5	2	5	2	4	6	250
3	3	1	5	1	4	2	251
2	3	2	5	2	3	2	252
2	2	1	5	1	2	2	253
3	4	1	5	2	3	2	254
3	3	3	4	1	4	3	255
2	3	2	5	2	3	6	256
3	5	3	3	1	2	5	257
1	5	4	4	2	5	2	258
2	2	2	3	2	6	2	259
1	3	1	4	2	5	2	260
2	4	2	2	1	5	5	261
2	4	1	4	2	1	2	262
2	1	1	5	1	3	5	263
1	1	1	5	1	5	2	264
3	3	3	3	1	1	1	265
4	4	3	5	1	5	3	266
2	4	4	3	2	3	4	267
5	5	5	2	1	5	6	268
2	4	4	2	1	3	2	269
2	2	2	3	2	5	2	270
4	4	5	5	2	3	2	271
3	5	4	2	2	1	3	272
3	1	2	4	2	3	3	273
3	5	5	2	2	4	3	274
2	1	2	4	1	4	6	275
4	5	1	5	2	3	3	276
4	5	1	4	2	6	2	277
4	5	2	2	1	6	2	278
4	5	2	1	2	6	2	279
2	5	5	2	1	1	2	280
2	4	2	2	2	4	2	281
2	5	2	1	2	6	2	282
2	3	2	3	2	1	4	283
2	4	4	5	2	5	2	284
4	4	4	4	1	2	2	285
5	4	1	3	1	1	4	286
2	5	5	4	2	1	5	287
2	4	2	5	1	2	3	288
2	1	1	5	2	2	3	289
4	4	2	4	1	1	3	290
1	2	2	2	2	4	2	291
4	4	3	5	1	3	2	292
2	4	2	2	2	2	3	293
2	3	2	2	1	5	2	294
4	4	4	5	1	5	2	295
2	2	2	2	1	6	1	296
4	3	4	4	2	2	4	297
1	3	2	2	2	5	2	298
2	3	1	4	1	4	2	299
1	4	2	3	1	2	2	300
4	3	2	2	2	6	2	301
2	3	2	4	1	4	6	302
2	3	1	5	2	6	2	303
2	3	2	3	2	4	2	304
3	4	2	4	2	4	3	305
2	4	2	4	2	2	3	306
5	4	2	4	2	6	2	307
4	5	3	5	2	6	2	308
4	5	2	5	2	6	2	309
1	2	1	3	2	1	3	310
1	4	4	4	2	3	3	311
2	2	2	2	2	6	2	312
2	5	2	2	2	6	2	313
5	5	4	4	1	3	3	314
1	5	5	5	2	2	2	315
2	1	4	4	2	5	1	316
1	1	1	5	1	3	2	317
4	3	3	2	1	5	3	318
1	4	3	3	2	2	4	319
1	2	1	5	1	4	6	320
3	4	2	2	1	3	2	321
4	5	4	4	1	4	3	322
3	4	4	4	2	4	3	323
4	3	4	4	2	2	3	324
4	4	4	4	2	4	1	325
4	2	2	5	2	1	3	326
4	2	1	1	1	5	2	327
3	5	2	5	1	2	3	328
2	3	1	5	1	6	3	329
2	3	2	3	2	3	3	330
3	4	4	3	1	4	2	331
1	5	3	2	2	4	6	332
4	4	2	4	1	2	2	333
3	2	2	3	2	5	2	334
3	3	3	3	1	2	6	335
2	1	2	2	1	4	2	336
2	1	4	2	1	6	3	337
4	4	4	4	2	4	2	338
1	2	1	4	2	6	2	339
2	3	3	4	2	4	2	340
4	4	2	4	1	4	3	341
2	4	2	5	2	5	2	342
2	3	2	2	1	2	3	343
3	4	4	3	1	2	2	344
3	4	2	3	1	2	3	345
2	1	2	3	1	3	2	346
2	2	2	2	1	1	2	347
3	4	4	2	2	5	2	348
2	3	4	2	1	5	2	349
3	2	1	2	2	1	2	350
2	4	2	4	2	1	2	351
3	4	1	5	1	3	4	352
3	3	2	4	1	6	6	353
4	3	4	5	2	6	2	354
3	4	3	3	1	2	3	355
2	2	4	5	1	2	1	356
2	2	1	4	2	1	2	357
2	3	2	5	2	5	2	358
1	1	2	2	2	2	2	359
2	3	3	2	1	1	3	360
4	2	3	3	1	2	2	361
4	2	3	3	2	4	2	362
3	2	2	4	1	1	3	363
2	4	3	3	1	2	2	364
4	2	3	3	2	2	3	365
2	4	3	3	2	2	3	366
2	4	3	1	1	1	1	367
4	4	5	4	2	2	6	368
4	5	1	1	2	6	4	369
1	4	2	5	2	2	4	370
2	5	4	4	2	3	4	371
1	1	1	4	2	2	5	372
1	4	2	4	2	2	3	373
2	1	1	2	1	5	2	374
2	3	2	4	2	2	5	375
4	5	2	5	1	1	3	376
2	2	2	2	2	1	1	377
2	2	2	2	1	4	2	378
2	2	2	3	2	2	3	379
3	2	3	3	2	5	1	380
3	3	4	2	1	2	3	381
3	2	4	3	2	6	1	382
3	2	4	3	1	2	2	383
3	2	2	4	1	3	2	384
2	3	2	3	1	4	2	385
3	2	1	5	1	6	2	386
2	1	1	5	2	4	2	387
3	2	4	5	1	4	2	388
3	4	3	3	1	3	3	389
2	4	1	2	1	3	2	390
4	4	4	4	2	2	2	391
4	5	1	5	2	2	3	392
3	4	4	4	2	2	2	393
4	4	4	5	2	5	2	394
2	4	4	3	2	4	2	395
2	3	2	2	1	2	2	396
2	4	3	2	1	2	2	397
3	4	3	2	1	2	2	398
4	5	5	2	1	4	2	399
1	1	1	4	2	3	2	400
4	4	4	2	1	5	2	401
1	1	1	4	2	1	1	402
2	2	2	4	1	5	2	403
2	4	4	4	2	3	6	404
2	4	2	5	2	6	2	405
3	2	3	2	1	5	2	406
3	3	2	4	2	2	5	407
3	2	2	3	1	3	3	408
3	3	2	4	1	3	6	409
2	1	1	3	2	6	2	410
2	2	4	2	2	5	2	411
1	4	3	5	2	6	3	412
3	4	5	2	2	5	2	413
1	5	5	4	2	4	3	414
2	2	2	4	2	6	2	415
5	4	4	4	1	3	2	416
5	5	4	4	1	3	4	417
4	4	2	5	1	3	2	418
4	3	1	5	2	2	2	419
4	3	3	5	2	2	3	420
2	5	4	5	1	2	4	421
2	4	1	5	1	6	2	422
1	4	1	4	2	6	2	423
2	2	2	5	1	6	3	424
2	4	4	5	2	2	4	425
2	4	5	5	1	2	5	426
4	4	1	4	2	5	2	427
1	4	2	4	1	6	3	428
2	1	1	5	2	4	4	429
2	3	3	4	2	6	2	430
2	4	2	5	2	3	3	431
3	4	4	4	1	2	2	432
4	5	4	5	2	3	5	433
3	2	2	1	2	4	2	434
5	5	4	3	1	4	5	435
4	5	4	4	1	5	2	436
4	5	3	4	2	2	4	437
4	4	5	2	2	3	3	438
2	1	4	5	2	5	3	439
2	4	4	2	1	5	3	440
2	4	4	2	2	6	2	441
4	5	4	2	1	4	2	442
4	4	3	4	1	1	2	443
4	5	4	1	2	2	6	444
2	4	4	2	2	6	3	445
5	5	4	2	1	1	4	446
4	5	4	3	1	6	3	447
2	4	4	2	2	3	3	448
3	3	2	4	1	6	3	449
3	4	4	5	1	4	3	450
2	3	1	5	2	6	2	451
2	2	2	5	1	6	2	452
2	1	1	5	2	6	2	453
2	1	1	5	2	4	2	454
2	4	4	4	2	2	2	455
2	4	4	4	2	4	3	456
1	4	3	2	1	6	2	457
2	3	3	2	1	2	3	458
2	4	2	5	1	2	5	459
3	3	2	5	1	2	5	460
3	3	3	3	1	1	4	461
2	4	3	3	2	1	4	462
2	2	2	5	2	3	6	463
2	4	5	2	1	3	6	464
3	2	2	4	2	2	4	465
2	4	3	4	2	3	2	466
5	5	5	4	2	3	6	467
3	4	4	4	1	6	6	468
2	4	3	3	2	2	2	469
2	3	1	2	1	5	2	470
4	3	1	2	2	3	3	471
3	3	2	3	1	4	2	472
2	3	3	3	2	3	2	473
2	4	2	3	1	3	2	474
2	2	1	4	2	6	2	475
2	4	2	4	1	4	2	476
1	2	1	4	1	6	2	477
3	4	2	3	1	3	2	478
3	3	2	2	2	2	3	479
2	3	3	3	1	5	2	480
2	3	3	2	1	2	2	481
2	4	3	3	1	3	3	482
3	4	3	3	2	4	6	483
4	4	4	2	2	2	3	484
2	3	2	3	2	5	2	485
3	3	2	4	1	6	6	486
3	3	1	5	1	4	2	487
2	3	1	2	2	2	2	488
3	4	4	5	1	2	5	489
2	1	1	5	1	5	2	490
4	4	2	5	1	2	4	491
2	1	1	5	1	5	1	492
1	1	2	5	1	5	2	493
3	5	5	1	1	3	3	494
3	3	2	3	2	3	2	495
1	3	1	1	2	1	2	496
2	4	2	4	2	4	6	497
4	4	2	4	1	1	4	498
3	4	5	3	1	3	3	499
4	4	3	5	1	1	3	500
2	4	5	5	1	2	2	501
4	5	4	5	1	2	4	502
2	4	1	5	2	2	6	503
4	4	5	4	2	1	4	504
2	4	4	3	2	1	3	505
5	4	3	4	1	4	3	506
4	4	4	4	2	2	2	507
1	4	2	2	1	5	3	508
2	3	1	2	2	6	2	509
2	4	2	2	1	6	2	510
2	2	2	2	1	4	2	511
1	2	2	2	2	4	2	512
2	4	1	2	2	5	2	513
2	5	5	2	1	2	6	514
2	2	3	3	2	3	2	515
2	4	3	3	2	3	3	516
3	4	3	3	1	2	4	517
2	3	2	3	2	5	3	518
2	5	1	3	2	4	2	519
1	2	1	1	2	5	2	520
1	4	1	1	2	2	3	521
1	5	1	5	2	2	3	522
3	3	2	2	2	2	3	523
3	2	2	1	1	4	3	524
2	3	3	3	2	1	3	525
1	3	3	4	2	4	2	526
1	2	2	4	2	4	2	527
3	4	2	3	2	3	3	528
2	2	2	2	2	2	2	529
5	5	2	2	1	1	2	530
2	3	2	4	1	5	2	531
2	2	2	4	1	3	3	532
2	1	1	5	1	1	4	533
3	3	2	2	2	1	2	534
2	4	3	2	2	3	3	535
4	2	2	2	1	1	3	536
3	3	2	5	2	3	3	537
2	1	1	5	2	2	4	538
4	5	4	4	1	1	4	539
4	5	3	5	1	1	4	540
1	3	1	5	2	2	6	541
1	5	1	5	2	2	2	542
1	5	5	1	1	6	2	543
5	5	5	5	2	2	3	544
1	4	1	4	2	2	2	545
1	5	5	5	2	5	2	546
3	3	2	3	2	5	1	547
2	2	1	4	1	6	2	548
3	3	2	3	1	6	2	549
2	2	2	2	2	6	1	550
2	2	2	3	2	6	1	551
2	4	3	3	2	3	2	552
3	1	1	1	2	3	2	553
1	2	2	4	1	3	3	554
1	4	3	4	2	2	3	555
2	5	2	2	1	1	4	556
3	5	2	4	2	4	2	557
3	3	2	2	2	6	6	558
4	3	2	3	1	6	1	559
2	1	1	1	1	2	1	560
1	3	1	5	2	3	4	561
4	4	3	4	1	3	3	562
4	4	2	5	1	4	6	563
2	4	5	1	1	3	3	564
3	4	3	2	1	3	4	565
2	5	2	1	1	5	2	566
3	4	3	1	2	1	1	567
2	3	4	2	2	2	3	568
2	3	3	2	2	2	3	569
2	5	4	1	2	2	3	570
3	4	3	2	1	2	3	571
3	5	3	1	1	1	1	572
4	4	4	2	1	4	6	573
1	4	3	2	2	2	3	574
2	5	3	3	2	1	1	575
3	3	3	2	2	3	3	576
1	4	2	2	2	6	2	577
3	2	3	4	1	4	3	578
2	3	4	2	1	1	1	579
2	2	2	4	1	4	2	580
1	2	2	4	1	3	3	581
1	4	2	2	2	3	6	582
2	3	3	2	2	6	2	583
2	2	2	2	2	5	3	584
4	2	2	2	1	1	6	585
1	3	2	3	1	5	2	586
4	5	4	2	2	2	4	587
3	5	3	2	1	5	6	588
5	5	4	2	1	1	4	589
2	4	4	2	2	5	2	590
4	5	4	2	1	2	2	591
2	1	2	2	2	4	2	592
3	3	4	3	2	6	2	593
2	1	3	2	1	2	2	594
3	4	2	4	2	4	2	595
3	4	3	3	1	4	2	596
5	5	5	3	2	3	3	597
5	3	4	4	1	5	2	598
4	2	2	4	2	6	2	599
2	3	2	2	1	3	3	600
2	3	2	2	1	6	2	601
3	2	2	2	1	5	2	602
2	2	1	2	1	6	2	603
2	2	2	2	1	2	2	604
2	2	2	4	2	2	3	605
4	5	5	5	1	2	4	606
2	2	2	5	2	6	3	607
3	3	2	5	2	5	6	608
5	4	2	5	1	2	6	609
3	4	4	4	2	1	4	610
5	5	4	3	1	3	6	611
3	3	2	2	1	4	3	612
1	2	1	1	2	4	2	613
1	1	1	1	2	5	2	614
1	4	1	1	1	5	6	615
1	3	2	1	1	5	2	616
2	1	1	2	2	1	3	617
1	2	1	4	2	3	2	618
1	1	1	5	2	3	2	619
3	3	2	4	2	2	3	620
1	3	1	1	1	4	2	621
3	2	4	4	2	2	3	622
2	3	2	2	1	3	2	623
4	5	4	4	1	4	5	624
5	5	5	3	2	3	3	625
4	5	4	4	1	3	3	626
4	5	4	5	2	5	2	627
1	1	1	3	2	4	2	628
2	4	1	4	2	5	2	629
3	3	4	5	1	2	6	630
1	1	1	4	1	4	2	631
2	1	2	2	2	6	2	632
1	3	1	4	2	2	3	633
3	4	2	4	1	2	4	634
2	3	2	3	2	6	2	635
1	2	2	2	2	2	2	636
2	2	2	3	2	6	2	637
2	5	2	2	2	5	2	638
2	3	1	2	2	6	2	639
2	2	1	2	2	3	2	640
3	3	3	3	1	4	2	641
3	3	3	4	2	6	2	642
2	3	3	2	1	3	3	643
2	2	2	2	1	4	4	644
3	3	3	3	2	2	4	645
4	4	2	3	2	6	2	646
1	3	2	2	1	1	1	647
2	3	2	4	2	4	3	648
2	3	1	4	1	5	2	649
4	4	2	4	2	2	3	650
4	4	2	2	1	6	2	651
2	5	3	4	1	2	2	652
3	4	3	5	1	2	2	653
3	4	3	5	1	4	2	654
2	2	2	5	1	3	4	655
2	3	2	5	2	3	3	656
2	3	2	5	2	3	3	657
3	3	2	3	2	4	2	658
2	5	3	4	1	2	3	659
4	4	2	4	1	3	2	660
2	2	4	1	2	1	5	661
3	5	5	5	1	4	6	662
3	3	1	2	2	4	2	663
3	4	1	3	1	2	2	664
2	2	4	4	2	4	2	665
5	5	5	5	1	2	5	666
4	4	3	3	1	2	4	667
2	1	1	5	2	2	6	668
4	4	1	5	1	6	3	669
3	3	2	4	2	2	3	670
3	3	1	1	2	2	4	671
5	4	2	4	2	6	2	672
3	2	3	2	2	2	5	673
3	4	3	4	2	2	5	674
2	4	2	4	1	3	2	675
3	3	3	4	1	3	3	676
1	1	1	5	1	4	3	677
4	5	4	2	2	6	1	678
4	5	5	1	2	4	5	679
3	4	2	5	2	4	3	680
2	3	1	4	1	6	1	681
1	2	1	5	2	3	3	682
3	3	2	4	1	5	2	683
3	2	2	3	1	4	2	684
2	2	1	4	1	2	5	685
5	5	3	2	1	6	2	686
4	4	1	5	1	2	3	687
1	2	1	4	2	1	3	688
1	5	4	5	2	2	2	689
1	3	3	3	2	4	4	690
5	3	3	3	1	4	4	691
1	3	1	5	1	6	2	692
4	3	5	5	1	2	2	693
1	1	1	5	2	2	1	694
5	5	4	1	2	4	2	695
3	3	3	3	1	2	2	696
3	2	2	4	1	5	6	697
4	3	2	4	2	2	4	698
3	4	3	2	1	4	3	699
2	2	2	4	1	6	3	700
4	4	4	4	1	2	4	701
2	4	1	5	1	5	3	702
3	5	4	4	1	2	3	703
2	4	3	5	1	2	5	704
2	4	1	3	1	6	4	705
1	2	2	3	2	5	2	706
1	3	3	3	1	2	3	707
2	2	1	1	2	3	4	708
2	3	1	1	1	4	2	709
2	2	2	5	2	2	4	710
3	3	3	3	2	1	1	711
4	5	4	4	1	5	3	712
4	4	4	2	1	1	2	713
2	4	4	3	1	3	2	714
4	4	4	2	1	5	3	715
1	2	1	3	2	6	2	716
4	4	4	3	1	2	4	717
2	2	2	4	1	4	2	718
3	4	2	4	1	2	4	719
2	4	1	4	2	6	6	720
4	4	2	4	1	1	3	721
3	4	5	3	2	3	4	722
2	3	3	5	1	3	5	723
2	4	1	1	2	4	5	724
2	4	2	2	2	2	2	725
5	5	4	2	1	3	5	726
1	4	3	2	2	2	2	727
5	5	5	2	1	5	6	728
4	4	5	4	2	2	3	729
2	3	3	4	1	4	2	730
4	3	2	3	2	4	2	731
4	2	4	5	2	4	1	732
4	5	3	2	2	4	6	733
1	5	4	4	1	6	4	734
2	4	3	2	1	4	6	735
3	3	2	2	1	4	3	736
3	3	3	3	2	5	2	737
2	3	2	2	1	5	5	738
3	5	2	3	1	4	2	739
2	4	2	3	2	3	3	740
2	4	3	5	2	3	3	741
4	5	2	5	2	3	4	742
5	3	1	5	1	2	4	743
3	4	2	4	1	4	5	744
2	4	4	3	2	5	6	745
2	4	5	5	1	2	6	746
4	4	3	5	2	4	3	747
2	2	2	2	1	5	2	748
4	4	3	4	2	4	2	749
1	3	3	5	1	2	5	750
4	4	4	3	2	2	4	751
3	5	4	2	1	6	6	752
4	5	4	2	1	3	6	753
2	4	2	4	1	6	2	754
2	4	4	3	2	1	4	755
2	4	1	4	2	1	4	756
4	4	4	4	2	1	4	757
5	4	4	4	2	2	4	758
2	3	2	2	1	1	4	759
4	4	4	3	1	4	3	760
3	2	3	4	1	2	3	761
4	4	5	2	1	2	4	762
5	4	4	5	2	2	4	763
3	4	2	4	2	5	4	764
2	3	3	2	1	3	5	765
2	4	4	4	2	3	6	766
4	5	4	1	1	5	3	767
4	4	2	4	2	5	3	768
3	5	3	2	1	5	3	769
2	2	2	3	1	6	2	770
2	3	2	4	1	3	5	771
2	3	2	3	1	2	3	772
2	2	1	2	2	4	3	773
2	2	3	1	1	6	2	774
4	3	3	2	1	4	2	775
4	4	3	2	2	2	6	776
4	5	1	2	1	5	3	777
5	5	5	5	1	2	3	778
1	1	1	1	2	6	1	779
3	2	3	4	1	5	3	780
4	1	5	3	2	6	2	781
5	2	3	3	2	4	2	782
2	5	3	2	1	6	2	783
2	1	5	2	1	6	2	784
4	4	3	2	1	4	3	785
4	4	5	2	2	5	2	786
2	5	4	2	1	2	2	787
2	2	1	3	1	2	2	788
5	3	5	3	2	6	2	789
4	4	4	4	1	1	1	790
3	3	3	3	2	6	2	791
4	4	2	5	2	3	3	792
1	1	1	2	1	4	3	793
2	4	1	2	1	3	3	794
5	5	5	5	1	3	5	795
2	5	2	3	2	3	2	796
4	3	4	3	2	1	1	797
2	2	1	5	2	3	2	798
3	2	3	3	2	5	2	799
4	5	5	1	1	4	3	800
1	3	1	4	1	5	2	801
1	3	4	2	1	3	6	802
1	2	2	2	2	6	2	803
4	2	2	3	2	6	2	804
4	2	1	4	2	2	4	805
2	5	5	1	2	6	6	806
3	2	3	4	2	5	2	807
3	3	3	3	1	6	5	808
1	4	3	3	1	2	6	809
5	5	5	1	1	1	4	810
5	2	3	4	2	3	3	811
2	4	2	3	1	1	2	812
2	4	2	5	2	6	2	813
5	5	5	1	2	2	4	814
2	3	1	3	1	1	3	815
3	2	5	1	2	5	2	816
2	4	2	3	1	2	6	817
4	5	2	2	1	4	5	818
4	5	5	2	1	3	2	819
2	4	2	2	1	5	2	820
2	2	3	3	2	1	3	821
2	4	3	4	1	6	2	822
5	5	2	2	1	5	4	823
2	4	3	4	2	1	4	824
3	4	4	2	2	4	2	825
5	5	4	1	1	4	6	826
5	5	4	2	1	2	2	827
4	4	4	2	1	6	2	828
1	2	2	4	2	6	2	829
2	2	2	4	1	4	3	830
1	1	2	5	1	6	2	831
1	1	1	5	2	6	3	832
4	3	3	3	2	5	2	833
4	4	3	3	1	2	3	834
4	4	2	3	1	3	2	835
2	3	3	5	2	6	2	836
3	4	4	3	2	2	2	837
3	3	4	4	1	1	2	838
3	4	2	5	1	1	5	839
2	3	1	4	2	2	3	840
2	3	2	4	2	5	2	841
2	4	4	2	1	6	5	842
4	5	3	2	1	3	5	843
4	5	4	2	1	2	2	844
3	4	4	4	1	2	4	845
1	1	2	4	1	2	5	846
2	3	3	4	1	6	3	847
4	4	3	3	1	5	4	848
2	4	3	3	1	3	3	849
1	3	2	1	2	2	3	850
2	4	4	4	2	6	5	851
4	4	2	4	1	1	4	852
4	4	4	4	2	3	6	853
2	3	1	5	1	6	4	854
2	3	2	3	1	4	3	855
1	1	1	5	2	2	4	856
2	3	2	3	1	4	6	857
3	3	2	2	2	5	3	858
2	2	1	1	2	6	2	859
2	1	1	2	2	6	2	860
1	3	1	4	1	5	2	861
2	1	1	3	2	4	3	862
3	2	3	4	2	6	2	863
3	2	1	2	2	5	2	864
4	4	4	3	1	6	2	865
1	3	2	3	1	4	2	866
1	3	4	5	1	2	2	867
3	4	2	4	1	2	3	868
1	2	2	2	2	3	3	869
